##x-axis,1,2,4
##second,Volt,Volt,Volt
#-6.20000E-06,,,
-275.00E-09,+3.95948017286E+00,-24.93464208916E+00,+2.77574266E-03
-250.00E-09,+3.94406859449E+00,-24.95283074716E+00,+2.61337258E-03
-225.00E-09,+3.95510850740E+00,-24.94498867439E+00,+2.52840691E-03
-200.00E-09,+3.94585961563E+00,-24.95866293851E+00,+2.60071624E-03
-175.00E-09,+3.98076151855E+00,-24.95800292794E+00,+2.62278423E-03
-150.00E-09,+3.94529431763E+00,-24.95204293304E+00,+2.50871731E-03
-125.00E-09,+3.93863210043E+00,-24.94443061269E+00,+2.68680378E-03
-100.00E-09,+3.94658162467E+00,-24.94878976538E+00,+2.63148087E-03
-75.00E-09,+3.96466686393E+00,-24.94853201000E+00,+2.48571355E-03
-50.00E-09,+3.94038905067E+00,-24.93506989752E+00,+2.51506454E-03
-25.00E-09,+1.45953193805E+00,-24.94627534071E+00,+5.26165462E-03
-0.0E+00,+147.25816758E-03,-24.93210380732E+00,+1.55322305E-03
+25.00E-09,-1.05609117080E+00,-24.97157554471E+00,-378.42100E-06
+50.00E-09,+276.52213380E-03,-24.93998571741E+00,+3.68901545E-03
+75.00E-09,-242.09239924E-03,-24.93233755478E+00,+2.32624366E-03
+100.00E-09,-279.86029026E-03,-24.95154415621E+00,+2.59020049E-03
+125.00E-09,+80.90117571E-03,-24.95597491809E+00,+2.47511545E-03
+150.00E-09,-209.51312144E-03,-24.95897025498E+00,+1.70768678E-03
+175.00E-09,-101.15786932E-03,-24.94297389339E+00,+2.23917576E-03
+200.00E-09,-85.59692927E-03,-24.94344044608E+00,+2.37805745E-03
+225.00E-09,-170.29917712E-03,-24.95281537003E+00,+2.34373638E-03
+250.00E-09,-121.97458446E-03,-24.94833523549E+00,+2.15721595E-03
+275.00E-09,-143.53117325E-03,-24.94315419778E+00,+2.12058178E-03
+300.00E-09,-171.14126347E-03,-24.94105706622E+00,+1.89895123E-03
+325.00E-09,-148.67101683E-03,-24.95860188225E+00,+1.61227976E-03
+350.00E-09,-140.69382884E-03,-24.92733293949E+00,+1.46915809E-03
+375.00E-09,-143.04913036E-03,-24.95078377972E+00,+1.41896213E-03
+400.00E-09,-130.67679662E-03,-24.94512205592E+00,+1.27843614E-03
+425.00E-09,-118.16897077E-03,-24.94091185033E+00,+1.05200624E-03
+450.00E-09,-147.18584231E-03,-24.93381342012E+00,+858.36044E-06
+475.00E-09,-136.00504775E-03,-24.95007711011E+00,+681.97285E-06
+500.00E-09,-159.54392958E-03,-24.93979233492E+00,+577.49921E-06
+525.00E-09,-124.93652886E-03,-24.94652043257E+00,+371.69073E-06
+550.00E-09,-141.71331752E-03,-24.95000606626E+00,+142.66008E-06
+575.00E-09,-157.11758421E-03,-24.95425087039E+00,+113.47452E-06
+600.00E-09,-134.51437062E-03,-24.93811487088E+00,+53.31349E-06
+625.00E-09,-134.57896964E-03,-24.93539375949E+00,-215.34946E-06
+650.00E-09,-136.34255315E-03,-24.94190337374E+00,-271.95237E-06
+675.00E-09,-132.94522490E-03,-24.95692992082E+00,-331.02314E-06
+700.00E-09,-134.06232821E-03,-24.93657828850E+00,-420.28280E-06
+725.00E-09,-130.71953600E-03,-24.95391008604E+00,-583.21124E-06
+750.00E-09,-117.77764541E-03,-24.94442804983E+00,-591.23216E-06
+775.00E-09,-148.99344662E-03,-24.93959574886E+00,-594.10497E-06
+800.00E-09,-123.01906098E-03,-24.94940556670E+00,-508.53067E-06
+825.00E-09,-141.05971409E-03,-24.93639493129E+00,-503.69685E-06
+850.00E-09,-137.56254755E-03,-24.94759664327E+00,-654.21945E-06
+875.00E-09,-140.81537601E-03,-24.94104417657E+00,-519.43091E-06
+900.00E-09,-154.91650626E-03,-24.95022613260E+00,-455.69753E-06
+925.00E-09,-132.20553969E-03,-24.94121049833E+00,-432.93546E-06
+950.00E-09,-130.78081839E-03,-24.93030573834E+00,-274.69357E-06
+975.00E-09,-144.42756951E-03,-24.94789442442E+00,-200.13328E-06
+1.00000E-06,-142.44022614E-03,-24.96658841714E+00,-98.12236E-06
+1.02500E-06,-139.50161126E-03,-24.94715138489E+00,+127.47401E-06
+1.05000E-06,-124.73263112E-03,-24.95350866002E+00,+82.56492E-06
+1.07500E-06,-149.33460786E-03,-24.94126405446E+00,+213.00306E-06
+1.10000E-06,-150.48612127E-03,-24.96773050828E+00,+328.95081E-06
+1.12500E-06,-134.51900637E-03,-24.93336329985E+00,+496.01254E-06
+1.15000E-06,-133.35286961E-03,-24.94281250890E+00,+509.63574E-06
+1.17500E-06,-140.18442370E-03,-24.95272469018E+00,+654.44812E-06
+1.20000E-06,-141.44749668E-03,-24.96012387898E+00,+849.46510E-06
+1.22500E-06,-137.54999710E-03,-24.93267890447E+00,+894.48961E-06
+1.25000E-06,-154.04359027E-03,-24.93443822911E+00,+900.50102E-06
+1.27500E-06,-145.11294480E-03,-24.94966317132E+00,+1.19224042E-03
+1.30000E-06,-145.12749277E-03,-24.93004330951E+00,+1.28446229E-03
+1.32500E-06,-136.40979041E-03,-24.94026039518E+00,+1.31806002E-03
+1.35000E-06,-138.48031350E-03,-24.93113998536E+00,+1.31598104E-03
+1.37500E-06,-127.10225448E-03,-24.94151887010E+00,+1.39085994E-03
+1.40000E-06,-140.19704953E-03,-24.93427782454E+00,+1.63938627E-03
+1.42500E-06,-147.51784511E-03,-24.94864209970E+00,+1.57148490E-03
+1.45000E-06,-134.14121138E-03,-24.95154735978E+00,+1.62198620E-03
+1.47500E-06,-145.56917070E-03,-24.95762897723E+00,+1.74777278E-03
+1.50000E-06,-133.03390722E-03,-24.95977642367E+00,+1.64940079E-03
+1.52500E-06,-146.99645485E-03,-24.93759668420E+00,+1.75635398E-03
+1.55000E-06,-147.37590816E-03,-24.95862916912E+00,+1.79446194E-03
+1.57500E-06,-128.00253271E-03,-24.93371550398E+00,+1.84206013E-03
+1.60000E-06,-142.66417445E-03,-24.94798491582E+00,+1.80806561E-03
+1.62500E-06,-139.48061846E-03,-24.94661782107E+00,+1.83457744E-03
+1.65000E-06,-127.06204027E-03,-24.92277595700E+00,+1.87710151E-03
+1.67500E-06,-155.31284426E-03,-24.93923796675E+00,+1.93295094E-03
+1.70000E-06,-144.27930080E-03,-24.92993009162E+00,+1.83442300E-03
+1.72500E-06,-120.76702744E-03,-24.94545100591E+00,+1.96241298E-03
+1.75000E-06,-111.12322985E-03,-24.93096488206E+00,+1.80932370E-03
+1.77500E-06,-145.48365425E-03,-24.94473849450E+00,+1.74530108E-03
+1.80000E-06,-145.25849990E-03,-24.94997779948E+00,+1.85050429E-03
+1.82500E-06,-146.28771235E-03,-24.95965811775E+00,+1.75757987E-03
+1.85000E-06,-146.91312437E-03,-24.93224370906E+00,+1.74774894E-03
+1.87500E-06,-144.55439315E-03,-24.96754635961E+00,+1.87091330E-03
+1.90000E-06,-157.92722028E-03,-24.94229330461E+00,+1.73582617E-03
+1.92500E-06,-139.99654380E-03,-24.93742376686E+00,+1.77242106E-03
+1.95000E-06,-149.16734387E-03,-24.92886405697E+00,+1.71056734E-03
+1.97500E-06,-147.95876925E-03,-24.93256881477E+00,+1.76180951E-03
+2.00000E-06,-124.60806882E-03,-24.93569334971E+00,+1.73145774E-03
+2.02500E-06,-148.80277774E-03,-24.94340181481E+00,+1.74003257E-03
+2.05000E-06,-144.94330641E-03,-24.94197573671E+00,+1.79919014E-03
+2.07500E-06,-144.06974971E-03,-24.95376728225E+00,+1.84775685E-03
+2.10000E-06,-129.44202812E-03,-24.95043986717E+00,+1.74326026E-03
+2.12500E-06,-139.66371184E-03,-24.94733368680E+00,+1.85900694E-03
+2.15000E-06,-145.68295393E-03,-24.94641188812E+00,+1.89318873E-03
+2.17500E-06,-142.04799624E-03,-24.94339518154E+00,+1.83096216E-03
+2.20000E-06,-146.89386527E-03,-24.94066344183E+00,+1.87263291E-03
+2.22500E-06,-144.57629048E-03,-24.94174756723E+00,+1.89563315E-03
+2.25000E-06,-142.72617293E-03,-24.93295410988E+00,+2.01352632E-03
+2.27500E-06,-158.21294094E-03,-24.94073900837E+00,+1.86265900E-03
+2.30000E-06,-158.91508785E-03,-24.95257593152E+00,+1.96728373E-03
+2.32500E-06,-144.62200729E-03,-24.97044219742E+00,+2.07022334E-03
+2.35000E-06,-136.19809104E-03,-24.96048290483E+00,+1.98269020E-03
